TERR0,F,,
TERR1,F,,
TERR2,F,,
TERR3,F,,
TERR4,F,,3X3
TERR5,T,,1X4
TERR6,T,,
TERR7,T,,
TERR8,T,,
TERR9,T,,
TERR10,W,,
TERR11,F,,
TERR12,F,,
TERR13,T,,
TERR14,F,,
TERR15,T,,
TERR16,T,,
TERR17,T,,
TERR18,T,,
TERR19,F,,
TERR20,F,,
TERR21,T,,
TERR22,T,,
TERR23,T,,
TERR24,T,,
TERR25,T,,4X1
TERR26,T,,4X2
TERR27,F,,
TERR28,T,,
TERR29,T,,
TERR30,T,,
TERR31,T,,
TERR32,T,,
TERR33,T,,
TERR34,F,,
TERR35,F,,
TERR36,T,,
TERR37,T,,
TERR38,F,,
TERR41,F,,
TERR42,T,,
TERR43,T,,3X2
TERR44,T,,
TERR45,T,,
TERR46,T,,
TERR47,T,,
TERR48,T,,
TERR49,F,,
TERR50,T,,1X1
TERR51,T,,
TERR52,T,,
TERR53,T,,
TERR54,T,,
TERR55,T,,2X1
TERR56,T,,
TERR57,T,,2X2
TERR58,T,,
TERR59,T,,
TERR61,T,,
TERR62,F,,1X5
TERR63,F,[-1 -1] [-1 0] [0 -1] [0 0],2X2
TERR64,T,,
TERR65,T,,
TERR66,F,,
TERR67,T,,
TERR68,F,,
TERR69,F,,
TERR70,F,,
TERR71,F,,
TERR74,F,,
TERR75,F,[0 0] [0 1] [1 0] [1 1] [2 0] [2 1],3X2
TERR76,T,,
TERR77,T,,
TERR78,T,,
TERR79,T,,
TERR81,F,,
TERR82,F,,
TERR83,F,[0 0] [0 1] [0 2] [1 0] [1 1] [1 2] [2 0] [2 1] [2 2],3X3
TERR84,T,,
TERR85,F,,
TERR86,F,[-1 0] [1 0],3X1
TERR87,F,,
TERR88,F,,
TERR90,F,,
TERR91,F,,
TERR92,F,,
TERR93,F,,
TERR94,F,,
TERR95,F,[-1 -1] [-1 0] [0 -1] [0 0],2X2
TERR96,F,,
TERR97,F,,
TERR98,T,,
TERR99,F,,
TERR100,T,,
TERR101,T,,
TERR102,T,,
TERR103,T,,
TERR104,F,,
TERR105,F,,
TERR106,F,,
TERR107,F,,
TERR108,F,,
TERR109,F,,
TERR110,T,,
