terr_0,F,,
terr_1,F,,
terr_2,F,,
terr_3,F,,
terr_4,F,,3X3
terr_5,T,,1X4
terr_6,T,,
terr_7,T,,
terr_8,T,,
terr_9,T,,
terr_10,W,,
terr_11,F,,
terr_12,F,,
terr_13,T,,
terr_14,F,,
terr_15,T,,
terr_16,T,,
terr_17,T,,
terr_18,T,,
terr_19,F,,
terr_20,F,,
terr_21,T,,
terr_22,T,,
terr_23,T,,
terr_24,T,,
terr_25,T,,4X1
terr_26,T,,4X2
terr_27,F,,
terr_28,T,,
terr_29,T,,
terr_30,T,,
terr_31,T,,
terr_32,T,,
terr_33,T,,
terr_34,F,,
terr_35,F,,
terr_36,T,,
terr_37,T,,
terr_38,F,,
terr_41,F,,
terr_42,T,,
terr_43,T,,3X2
terr_44,T,,
terr_45,T,,
terr_46,T,,
terr_47,T,,
terr_48,T,,
terr_49,F,,
terr_50,T,,1X1
terr_51,T,,
terr_52,T,,
terr_53,T,,
terr_54,T,,
terr_55,T,,2X1
terr_56,T,,
terr_57,T,,2X2
terr_58,T,,
terr_59,T,,
terr_61,T,,
terr_62,F,,1X5
terr_63,F,[-1 -1] [-1 0] [0 -1] [0 0],2X2
terr_64,T,,
terr_65,T,,
terr_66,F,,
terr_67,T,,
terr_68,F,,
terr_69,F,,
terr_70,F,,
terr_71,F,,
terr_74,F,,
terr_75,F,[0 0] [0 1] [1 0] [1 1] [2 0] [2 1],3X2
terr_76,T,,
terr_77,T,,
terr_78,T,,
terr_79,T,,
terr_81,F,,
terr_82,F,,
terr_83,F,[0 0] [0 1] [0 2] [1 0] [1 1] [1 2] [2 0] [2 1] [2 2],3X3
terr_84,T,,
terr_85,F,,
terr_86,F,[-1 0] [1 0],3X1
terr_87,F,,
terr_88,F,,
terr_90,F,,
terr_91,F,,
terr_92,F,,
terr_93,F,,
terr_94,F,,
terr_95,F,[-1 -1] [-1 0] [0 -1] [0 0],2X2
terr_96,F,,
terr_97,F,,
terr_98,T,,
terr_99,F,,
terr_100,T,,
terr_101,T,,
terr_102,T,,
terr_103,T,,
terr_104,F,,
terr_105,F,,
terr_106,F,,
terr_107,F,,
terr_108,F,,
terr_109,F,,
terr_110,T,,
